Country,Year,Residence Type,Basic service,Limited service,No handwashing facility,Open defecation,Safely managed service,Surface water,Unimproved
Algeria,2005,total,66.96838000000001,6.91542,0.0,4.20325,18.33943,0.35597,2.56344
Algeria,2005,urban,73.26051,5.5336099999999995,0.0,0.55924,17.53831,0.1,1.4317250000000001
Algeria,2006,rural,56.420190000000005,9.41654,0.0,9.79823,19.85666,0.76923,4.426515
Algeria,2006,total,67.29314000000001,6.9065449999999995,0.0,3.80661,18.291120000000003,0.33695,2.51544
Algeria,2006,urban,73.25322,5.530675,0.0,0.52228,17.43296,0.1,1.467875
Algeria,2008,rural,57.531530000000004,9.541775,0.0,8.12684,20.06363,0.69231,4.158355
Algeria,2008,total,67.91345,6.88668,0.0,3.05159,18.185570000000002,0.30080999999999997,2.42782
Algeria,2008,urban,73.23862,5.524815,0.0,0.44835,17.222260000000002,0.1,1.5401799999999999
Algeria,2016,rural,67.24551,11.042520000000001,13.76281,2.27696,20.78803,0.42308,3.219795
Algeria,2016,total,76.74105,7.154226666666666,8.447980000000001,0.78537,17.713,0.19221,2.2003999999999997
Algeria,2016,urban,80.533605,5.60123,6.32522,0.18962,16.484820000000003,0.1,1.7932549999999998
Algeria,2017,rural,67.24551,11.042520000000001,13.76281,2.27696,20.78803,0.42308,3.219795
Algeria,2017,total,76.819845,7.121963333333333,8.403880000000001,0.77299,17.687479999999997,0.19029000000000001,2.191945
Algeria,2017,urban,80.533605,5.60123,6.32522,0.18962,16.484820000000003,0.1,1.7932549999999998
American Samoa,2000,total,86.0497,17.14358,0.0,0.0,12.40939,0.0,1.187825
American Samoa,2001,total,86.11729,17.142205,0.0,0.0,12.419130000000001,0.0,1.15313
American Samoa,2002,total,86.18488,17.140835,0.0,0.0,12.42888,0.0,1.11843
American Samoa,2003,total,86.25247,17.13946,0.0,0.0,12.43863,0.0,1.083735
American Samoa,2004,total,86.32005,17.138085,0.0,0.7280399999999999,12.448369999999999,0.0,0.6850200000000001
American Samoa,2005,total,86.38764,17.136715,0.0,0.7280399999999999,12.45812,0.0,0.6503249999999999
American Samoa,2006,total,86.45523,17.13534,0.0,0.7280399999999999,12.46787,0.0,0.61563
American Samoa,2008,total,86.5904,17.132595000000002,0.0,0.7280399999999999,12.48736,0.0,0.546235
American Samoa,2016,total,87.1311,21.715320000000002,0.0,0.70389,12.565339999999999,0.0,0.28074
American Samoa,2017,total,87.19869,22.287745,0.0,0.70087,12.57508,0.0,0.24755500000000003
Andorra,2000,rural,85.39596,0.0,0.0,0.0,14.60404,0.0,0.0
Andorra,2000,total,47.37798,0.0,0.0,0.0,52.62202,0.0,0.0
Andorra,2000,urban,85.39596,0.0,0.0,0.0,14.60404,0.0,0.0
Andorra,2001,rural,78.21134,0.0,0.0,0.0,21.78866,0.0,0.0
Andorra,2001,total,43.78567,0.0,0.0,0.0,56.214330000000004,0.0,0.0
Andorra,2001,urban,78.21134,0.0,0.0,0.0,21.78866,0.0,0.0
Andorra,2002,rural,71.02672,0.0,0.0,0.0,28.97328,0.0,0.0
Andorra,2002,total,40.193355,0.0,0.0,0.0,59.80664,0.0,0.0
Andorra,2002,urban,71.02672,0.0,0.0,0.0,28.97328,0.0,0.0
Andorra,2003,rural,63.84209,0.0,0.0,0.0,36.15791,0.0,0.0
Andorra,2003,total,36.601045,0.0,0.0,0.0,63.398955,0.0,0.0
Andorra,2003,urban,63.84209,0.0,0.0,0.0,36.15791,0.0,0.0
