Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
sdg,Australia and New Zealand,urban,Drinking water,2015,96.54873,23539247.47011,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2015,0,0,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2015,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2015,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2015,0.02512,7139.00389,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2015,0,0,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2015,0.02928,7138.75978,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2017,28.12913,8201435.1022,Basic service
sdg,Australia and New Zealand,total,Sanitation,2017,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2017,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2017,71.86345,20952780.09392,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2017,0.00742,2162.80388,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2017,99.97479,29149027.08497,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2017,100,4083436.34903,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2017,3.42668,859168.87499,Basic service
sdg,Australia and New Zealand,total,Drinking water,2017,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2017,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2017,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2017,96.544,24206421.37276,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2017,0,0,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2017,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2017,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2017,0.02521,7350.91503,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2017,0,0,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2017,0.02932,7351.40322,Unimproved
sdg,Central and Southern Asia,total,Sanitation,2000,25.45183,383894240.09232,At least basic
sdg,Central and Southern Asia,urban,Sanitation,2000,57.21913,255818924.7912,At least basic
sdg,Central and Southern Asia,rural,Sanitation,2000,5.16331,54794591.52379,Basic service
sdg,Central and Southern Asia,total,Sanitation,2000,5.86227,88421663.05369,Limited service
sdg,Central and Southern Asia,rural,Sanitation,2000,2.3265,24689562.42787,Limited service
sdg,Central and Southern Asia,urban,Sanitation,2000,14.25499,63732098.74862,Limited service
sdg,Central and Southern Asia,total,Sanitation,2000,58.21325,878040393.03627,Open defecation
sdg,Central and Southern Asia,rural,Sanitation,2000,74.82242,794038393.64272,Open defecation
sdg,Central and Southern Asia,urban,Sanitation,2000,18.78876,84001982.98834,Open defecation
sdg,Central and Southern Asia,rural,Sanitation,2000,6.90526,73280715.71387,Safely managed service
sdg,Central and Southern Asia,total,Sanitation,2000,10.47265,157960704.81922,Unimproved
sdg,Central and Southern Asia,rural,Sanitation,2000,10.78252,114427351.49749,Unimproved
sdg,Central and Southern Asia,urban,Sanitation,2000,9.73713,43533379.66504,Unimproved
sdg,Central and Southern Asia,total,Drinking water,2000,39.84481,600986093.15787,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2000,45.35087,481277357.21943,Basic service
