,Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
400,sdg,Central and Southern Asia,total,Sanitation,2003,10.52475,167241213.58898002,Unimproved
418,sdg,Central and Southern Asia,total,Sanitation,2004,33.69872,544434058.01875,At least basic
421,sdg,Central and Southern Asia,total,Sanitation,2004,7.756410000000001,125311990.25049,Limited service
424,sdg,Central and Southern Asia,total,Sanitation,2004,48.2756,779937040.96258,Open defecation
428,sdg,Central and Southern Asia,total,Sanitation,2004,10.26928,165909695.76657,Unimproved
446,sdg,Central and Southern Asia,total,Sanitation,2005,35.80346,587831995.31649,At least basic
449,sdg,Central and Southern Asia,total,Sanitation,2005,8.18561,134393869.03545,Limited service
452,sdg,Central and Southern Asia,total,Sanitation,2005,46.00268,755285830.70145,Open defecation
456,sdg,Central and Southern Asia,total,Sanitation,2005,10.00825,164318485.9466,Unimproved
474,sdg,Central and Southern Asia,total,Sanitation,2006,37.911359999999995,632243927.9144701,At least basic
477,sdg,Central and Southern Asia,total,Sanitation,2006,8.60635,143527299.36717,Limited service
480,sdg,Central and Southern Asia,total,Sanitation,2006,43.73935,729436774.57199,Open defecation
484,sdg,Central and Southern Asia,total,Sanitation,2006,9.74293,162481940.14468998,Unimproved
502,sdg,Central and Southern Asia,total,Sanitation,2007,40.027390000000004,677742200.80871,At least basic
505,sdg,Central and Southern Asia,total,Sanitation,2007,9.0138,152621220.30306,Limited service
508,sdg,Central and Southern Asia,total,Sanitation,2007,41.48664,702450140.57471,Open defecation
512,sdg,Central and Southern Asia,total,Sanitation,2007,9.47217,160382413.31183,Unimproved
530,sdg,Central and Southern Asia,total,Sanitation,2008,42.1503,724323038.83348,At least basic
533,sdg,Central and Southern Asia,total,Sanitation,2008,9.40939,161693707.83283,Limited service
536,sdg,Central and Southern Asia,total,Sanitation,2008,39.24176,674341880.86338,Open defecation
540,sdg,Central and Southern Asia,total,Sanitation,2008,9.19856,158070716.47031,Unimproved
558,sdg,Central and Southern Asia,total,Sanitation,2009,44.2797,772022059.18408,At least basic
561,sdg,Central and Southern Asia,total,Sanitation,2009,9.79266,170736187.31188,Limited service
564,sdg,Central and Southern Asia,total,Sanitation,2009,37.00229,645139513.37729,Open defecation
568,sdg,Central and Southern Asia,total,Sanitation,2009,8.92535,155614666.12676,Unimproved
586,sdg,Central and Southern Asia,total,Sanitation,2010,46.41389,820843957.21627,At least basic
589,sdg,Central and Southern Asia,total,Sanitation,2010,10.164860000000001,179768698.9525,Limited service
592,sdg,Central and Southern Asia,total,Sanitation,2010,34.76668,614859482.9909999,Open defecation
596,sdg,Central and Southern Asia,total,Sanitation,2010,8.65457,153058654.84023002,Unimproved
614,sdg,Central and Southern Asia,total,Sanitation,2011,48.55168,870775544.08813,At least basic
